Designator,Mid X,Mid Y,Rotation,Layer
C1,178.435,-123.19,0.0,top
C2,190.5,-93.345,90.0,top
C3,178.435,-129.54,0.0,top
D1,198.755,-105.41,0.0,top
J1,207.645,-81.28,0.0,top
J2,207.645,-127.635,0.0,top
J3,189.23,-128.27,0.0,top
J4,189.865,-81.915,180.0,top
J5,199.64,-81.8825,0.0,top
J6,187.15,-106.49,270.0,top
J7,199.43,-128.27,0.0,top
R1,198.755,-93.98,270.0,top
R2,184.785,-81.915,270.0,top
R3,178.435,-81.915,90.0,top
S1,198.795,-116.205,0.0,top
U2,181.61,-114.935,0.0,top
U3,182.245,-95.25,180.0,top
