Ref,Val,Package,PosX,PosY,Rot,Side
"BT1","Battery","PinHeader_1x02_P2.54mm_Vertical",103.505000,-46.990000,90.000000,top
"C1","22pF","C_0805_2012Metric",80.325000,-64.135000,0.000000,top
"C2","22pF","C_0805_2012Metric",76.515000,-64.135000,0.000000,top
"C3","0.1uF","C_0805_2012Metric",97.155000,-57.150000,0.000000,top
"C4","0.1uF","C_0805_2012Metric",95.885000,-66.675000,0.000000,top
"C5","100nF","C_0805_2012Metric",104.140000,-55.245000,0.000000,top
"D1","LED","LED_0805_2012Metric",103.837500,-64.135000,0.000000,top
"D2","LED","LED_0805_2012Metric",103.837500,-52.070000,0.000000,top
"J1","Conn_01x04_Pin","PinHeader_1x04_P2.54mm_Vertical",65.405000,-56.515000,0.000000,top
"J2","Conn_01x04_Pin","PinHeader_1x04_P2.54mm_Vertical",71.755000,-73.025000,90.000000,top
"J3","Conn_01x09","PinHeader_1x09_P2.54mm_Vertical",86.360000,-73.025000,90.000000,top
"J4","Conn_02x03_Odd_Even","PinHeader_2x03_P2.54mm_Vertical",109.855000,-56.515000,0.000000,top
"R1","330","R_0805_2012Metric",98.782500,-46.355000,0.000000,top
"R2","330","R_0805_2012Metric",104.140000,-59.055000,0.000000,top
"R3","10K","R_0805_2012Metric",97.155000,-62.230000,0.000000,top
"R4","4.7K","R_0805_2012Metric",97.512500,-52.070000,0.000000,top
"R5","4.7K","R_0805_2012Metric",70.207500,-60.960000,0.000000,top
"R6","R10K","R_0805_2012Metric",85.447500,-66.675000,0.000000,top
"R7","10K","R_0805_2012Metric",90.805000,-66.675000,0.000000,top
"U1","24LC1025","SOIC-8_5.3x5.3mm_P1.27mm",88.900000,-48.260000,0.000000,top
"U2","24LC1025","SOIC-8_5.3x5.3mm_P1.27mm",77.470000,-48.260000,0.000000,top
"U3","DS1337S_","SOIC127P600X175-8N",78.805000,-57.150000,0.000000,top
"U4","ATMEGA328P-AU","QFP80P900X900X120-32N",88.900000,-58.420000,0.000000,top
"Y1","16MHz","Crystal_SMD_5032-2Pin_5.0x3.2mm",71.120000,-66.040000,0.000000,top
"Y2","32.768 KHz","Crystal_SMD_5032-2Pin_5.0x3.2mm",69.850000,-55.245000,90.000000,top
